feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,contacted_agent,referred_claim
FDB80044,CUST10769,01/05/2025,I'm not happy with the premium charged.,2,No,No
FDB80045,CUST10164,07/04/2026,I'm not happy with the premium charged.,2,No,No
FDB80046,CUST99318,23/03/2026,Need more clarity on policy coverage.,2,Yes,Yes
FDB80047,CUST10456,27/02/2024,The agent was helpful and explained everything.,4,No,No
FDB80048,CUST99192,12/10/2024,Need more clarity on policy coverage.,2,No,No
FDB80049,CUST11572,19/04/2026,Very satisfied with the claim process.,5,No,No
FDB80050,CUST11154,14/03/2024,Very satisfied with the claim process.,5,Yes,Yes
FDB80051,CUST11258,27/06/2026,I'm not happy with the premium charged.,2,No,No
FDB80052,CUST11441,09/06/2026,I'm not happy with the premium charged.,2,No,Yes
FDB80053,CUST99082,22/08/2024,Excellent customer service support.,5,No,No
FDB80054,CUST10197,21/07/2024,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80055,CUST99305,11/05/2026,Frustrated with repeated documentation requests.,2,No,Yes
FDB80056,CUST11230,17/04/2024,Claim process could be faster.,2,Yes,Yes
FDB80057,CUST10580,21/01/2025,Excellent customer service support.,5,Yes,Yes
FDB80058,CUST10748,29/05/2024,The mobile app experience was intuitive.,4,No,No
FDB80059,CUST99030,26/06/2025,Smooth experience with no issues.,4,Yes,Yes
FDB80060,CUST10650,23/08/2026,Frustrated with repeated documentation requests.,2,Yes,No
FDB80061,CUST11602,24/01/2026,Had to wait too long for claim approval.,2,No,No
FDB80062,CUST11156,05/08/2026,Claim process could be faster.,3,Yes,No
FDB80063,CUST99066,05/03/2025,I'm not happy with the premium charged.,2,Yes,No
FDB80064,CUST99204,03/01/2024,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80065,CUST10762,26/06/2025,Frustrated with repeated documentation requests.,2,No,No
FDB80066,CUST99005,01/09/2024,Had to wait too long for claim approval.,1,Yes,No
FDB80067,CUST10577,08/06/2026,Very satisfied with the claim process.,5,No,Yes
FDB80068,CUST99207,25/02/2024,I'm not happy with the premium charged.,2,Yes,No
FDB80069,CUST10091,22/01/2025,Need more clarity on policy coverage.,2,No,Yes
FDB80070,CUST10285,24/07/2026,Excellent customer service support.,4,Yes,No
FDB80071,CUST11123,11/09/2023,The agent was helpful and explained everything.,4,No,No
FDB80072,CUST11123,09/10/2023,Need more clarity on policy coverage.,2,No,No
FDB80073,CUST11529,14/09/2025,Claim process could be faster.,2,Yes,No
FDB80074,CUST10631,11/04/2026,The mobile app experience was intuitive.,4,Yes,No
FDB80075,CUST10437,30/08/2026,Claim process could be faster.,2,Yes,Yes
FDB80076,CUST10861,05/04/2026,Smooth experience with no issues.,5,No,No
FDB80077,CUST10794,20/11/2023,Very satisfied with the claim process.,4,Yes,Yes
FDB80078,CUST10230,04/12/2024,Very satisfied with the claim process.,5,No,Yes
FDB80079,CUST11178,14/06/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80080,CUST11610,27/10/2025,Claim process could be faster.,2,No,Yes
FDB80081,CUST99213,14/01/2024,Very satisfied with the claim process.,5,Yes,No
FDB80082,CUST11089,02/01/2026,Had to wait too long for claim approval.,1,Yes,No
FDB80083,CUST99073,13/08/2025,Claim process could be faster.,2,Yes,No
FDB80084,CUST10497,11/04/2025,Claim process could be faster.,2,Yes,No
FDB80085,CUST11482,29/09/2023,Frustrated with repeated documentation requests.,2,No,No
FDB80086,CUST10827,11/02/2025,Excellent customer service support.,5,No,Yes
FDB80087,CUST10169,07/11/2025,Claim process could be faster.,2,Yes,Yes
FDB80088,CUST10416,21/07/2024,Very satisfied with the claim process.,5,Yes,No
FDB80089,CUST10218,13/11/2024,Excellent customer service support.,5,No,No
FDB80090,CUST99140,21/02/2026,Need more clarity on policy coverage.,2,No,No
FDB80091,CUST11472,24/12/2025,The agent was helpful and explained everything.,5,Yes,Yes
FDB80092,CUST10575,06/10/2024,The agent was helpful and explained everything.,4,Yes,No
FDB80093,CUST11027,28/10/2025,Had to wait too long for claim approval.,1,No,No
FDB80094,CUST99263,17/03/2025,The mobile app experience was intuitive.,4,No,Yes
FDB80095,CUST10686,15/08/2025,The mobile app experience was intuitive.,4,No,Yes
FDB80096,CUST99308,16/12/2024,Claim process could be faster.,2,Yes,No
FDB80097,CUST99331,17/01/2024,The mobile app experience was intuitive.,4,No,Yes
FDB80098,CUST99254,10/02/2024,I'm not happy with the premium charged.,2,No,Yes
FDB80099,CUST10346,17/06/2024,The agent was helpful and explained everything.,5,No,No
FDB80100,CUST10037,24/02/2026,I'm not happy with the premium charged.,2,No,No
FDB80101,CUST10772,07/12/2025,The mobile app experience was intuitive.,4,No,No
FDB80102,CUST11640,04/01/2024,Very satisfied with the claim process.,5,No,Yes
FDB80103,CUST10995,07/03/2024,Smooth experience with no issues.,4,Yes,No
FDB80104,CUST99022,29/11/2024,The agent was helpful and explained everything.,5,Yes,No
FDB80105,CUST11551,10/09/2024,Need more clarity on policy coverage.,2,No,No
FDB80106,CUST99041,31/05/2026,Had to wait too long for claim approval.,2,No,Yes
FDB80107,CUST10523,22/01/2026,Very satisfied with the claim process.,5,Yes,No
FDB80108,CUST10528,21/04/2024,Smooth experience with no issues.,5,Yes,No
FDB80109,CUST10550,19/12/2023,Had to wait too long for claim approval.,1,No,Yes
FDB80110,CUST11435,07/08/2025,Excellent customer service support.,4,Yes,No
FDB80111,CUST99272,24/11/2023,Frustrated with repeated documentation requests.,2,No,Yes
FDB80112,CUST11588,16/05/2026,Need more clarity on policy coverage.,2,Yes,No
FDB80113,CUST10096,23/02/2025,The mobile app experience was intuitive.,4,Yes,Yes
FDB80114,CUST11320,29/05/2024,Had to wait too long for claim approval.,1,No,Yes
FDB80115,CUST11137,14/06/2024,Had to wait too long for claim approval.,2,Yes,No
FDB80116,CUST10326,23/07/2024,Excellent customer service support.,5,No,Yes
FDB80117,CUST99052,03/01/2025,Very satisfied with the claim process.,5,No,No
FDB80118,CUST10147,13/01/2026,Frustrated with repeated documentation requests.,2,No,No
FDB80119,CUST11440,09/10/2025,Very satisfied with the claim process.,5,No,No
FDB80120,CUST10074,18/05/2025,Excellent customer service support.,4,Yes,Yes
FDB80121,CUST99344,16/06/2025,Excellent customer service support.,5,No,Yes
FDB80122,CUST10994,16/12/2025,Excellent customer service support.,4,Yes,Yes
FDB80123,CUST99261,13/02/2024,The mobile app experience was intuitive.,4,Yes,No
FDB80124,CUST99195,16/07/2024,Smooth experience with no issues.,4,Yes,Yes
FDB80125,CUST99072,03/05/2024,Need more clarity on policy coverage.,2,No,No
FDB80126,CUST99176,14/10/2024,Very satisfied with the claim process.,4,Yes,No
FDB80127,CUST10178,05/10/2024,I'm not happy with the premium charged.,2,No,No
FDB80128,CUST10514,19/07/2024,Had to wait too long for claim approval.,1,Yes,Yes
FDB80129,CUST11404,05/07/2026,Had to wait too long for claim approval.,2,Yes,Yes
FDB80130,CUST11253,24/02/2024,Frustrated with repeated documentation requests.,2,No,Yes
FDB80131,CUST10135,29/07/2025,Excellent customer service support.,4,Yes,No
FDB80132,CUST10383,05/02/2025,Need more clarity on policy coverage.,2,Yes,No
FDB80133,CUST99250,29/12/2024,I'm not happy with the premium charged.,2,No,Yes
FDB80134,CUST99045,23/07/2024,Had to wait too long for claim approval.,1,No,No
FDB80135,CUST11201,27/11/2025,The mobile app experience was intuitive.,4,No,No
FDB80136,CUST10533,04/10/2025,Very satisfied with the claim process.,5,No,No
FDB80137,CUST11324,11/02/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80138,CUST10357,20/07/2024,Need more clarity on policy coverage.,2,No,Yes
FDB80139,CUST10680,29/10/2024,The agent was helpful and explained everything.,4,Yes,Yes
FDB80140,CUST10991,01/08/2025,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80141,CUST99214,04/10/2023,Very satisfied with the claim process.,5,Yes,No
FDB80142,CUST99249,22/04/2024,Had to wait too long for claim approval.,2,No,No
FDB80143,CUST10169,01/08/2024,Frustrated with repeated documentation requests.,2,Yes,No
FDB80144,CUST99180,05/06/2025,Claim process could be faster.,2,No,Yes
FDB80145,CUST10374,14/06/2024,I'm not happy with the premium charged.,2,No,Yes
FDB80146,CUST10249,02/11/2025,The mobile app experience was intuitive.,4,No,Yes
FDB80147,CUST11121,29/11/2025,The agent was helpful and explained everything.,4,Yes,No
FDB80148,CUST11114,30/08/2026,Very satisfied with the claim process.,5,Yes,No
FDB80149,CUST10770,21/11/2024,I'm not happy with the premium charged.,2,Yes,Yes
FDB80150,CUST99166,12/07/2025,Frustrated with repeated documentation requests.,2,No,Yes
FDB80151,CUST10788,08/03/2024,Had to wait too long for claim approval.,1,No,Yes
FDB80152,CUST10056,15/09/2024,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80153,CUST10324,21/02/2024,Smooth experience with no issues.,5,No,No
FDB80154,CUST11221,26/03/2026,I'm not happy with the premium charged.,2,No,Yes
FDB80155,CUST10193,13/08/2024,Claim process could be faster.,2,No,Yes
FDB80156,CUST11525,18/10/2024,Smooth experience with no issues.,4,No,No
FDB80157,CUST10790,09/04/2026,Had to wait too long for claim approval.,1,No,No
FDB80158,CUST11080,16/02/2025,The mobile app experience was intuitive.,4,Yes,Yes
FDB80159,CUST99258,07/03/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80160,CUST10317,01/04/2025,Had to wait too long for claim approval.,1,No,Yes
FDB80161,CUST99277,14/03/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80162,CUST11450,14/05/2026,Had to wait too long for claim approval.,1,Yes,No
FDB80163,CUST99302,19/09/2023,Very satisfied with the claim process.,5,No,No
FDB80164,CUST99061,07/07/2026,The mobile app experience was intuitive.,4,Yes,Yes
FDB80165,CUST99170,13/09/2024,I'm not happy with the premium charged.,2,Yes,No
FDB80166,CUST99083,08/08/2024,Smooth experience with no issues.,4,No,No
FDB80167,CUST99317,06/05/2024,Frustrated with repeated documentation requests.,2,No,Yes
FDB80168,CUST11221,05/07/2024,The mobile app experience was intuitive.,4,Yes,No
FDB80169,CUST99328,03/01/2026,Smooth experience with no issues.,4,No,No
FDB80170,CUST10141,16/01/2026,Smooth experience with no issues.,4,No,No
FDB80171,CUST10185,16/08/2025,The agent was helpful and explained everything.,4,Yes,No
FDB80172,CUST10331,28/09/2024,Smooth experience with no issues.,4,No,No
FDB80173,CUST99367,19/01/2025,The mobile app experience was intuitive.,4,Yes,Yes
FDB80174,CUST99117,31/05/2026,The agent was helpful and explained everything.,4,No,Yes
FDB80175,CUST99093,24/05/2026,Had to wait too long for claim approval.,1,Yes,Yes
FDB80176,CUST99253,12/03/2026,Frustrated with repeated documentation requests.,2,Yes,No
FDB80177,CUST11345,18/03/2026,Need more clarity on policy coverage.,2,Yes,No
FDB80178,CUST10479,09/01/2026,The mobile app experience was intuitive.,4,Yes,No
FDB80179,CUST99340,31/03/2025,The agent was helpful and explained everything.,4,Yes,No
FDB80180,CUST10814,11/05/2024,Claim process could be faster.,2,Yes,No
FDB80181,CUST10273,12/04/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80182,CUST10275,01/09/2025,Claim process could be faster.,3,Yes,No
FDB80183,CUST11225,13/11/2024,Frustrated with repeated documentation requests.,2,No,No
FDB80184,CUST11183,21/12/2023,Need more clarity on policy coverage.,2,Yes,Yes
FDB80185,CUST10734,30/08/2024,I'm not happy with the premium charged.,2,Yes,No
FDB80186,CUST10565,16/11/2023,Very satisfied with the claim process.,5,No,No
FDB80187,CUST11224,02/05/2025,Claim process could be faster.,2,Yes,Yes
FDB80188,CUST99341,12/04/2025,The mobile app experience was intuitive.,4,No,No
FDB80189,CUST10790,24/11/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80190,CUST99029,17/04/2026,Excellent customer service support.,4,No,Yes
FDB80191,CUST10531,02/08/2026,Smooth experience with no issues.,5,Yes,No
FDB80192,CUST10950,04/11/2023,Smooth experience with no issues.,4,Yes,Yes
FDB80193,CUST99271,17/05/2025,Very satisfied with the claim process.,5,No,No
FDB80194,CUST10527,01/06/2024,Smooth experience with no issues.,5,No,No
FDB80195,CUST10082,10/06/2024,Claim process could be faster.,2,Yes,No
FDB80196,CUST99348,22/11/2025,Excellent customer service support.,4,Yes,No
FDB80197,CUST99130,28/09/2025,Very satisfied with the claim process.,5,No,No
FDB80198,CUST99358,17/08/2025,Excellent customer service support.,4,Yes,Yes
FDB80199,CUST10058,29/05/2024,Excellent customer service support.,5,No,No
FDB80200,CUST10734,28/09/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80201,CUST11461,15/01/2025,Claim process could be faster.,3,Yes,Yes
FDB80202,CUST99069,18/10/2023,Very satisfied with the claim process.,5,No,No
FDB80203,CUST11118,02/07/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80204,CUST10142,30/04/2025,Claim process could be faster.,2,Yes,No
FDB80205,CUST11318,13/12/2023,Smooth experience with no issues.,5,Yes,No
FDB80206,CUST99133,30/03/2024,I'm not happy with the premium charged.,2,Yes,Yes
FDB80207,CUST10643,02/03/2026,Claim process could be faster.,2,No,No
FDB80208,CUST99291,12/11/2023,Excellent customer service support.,5,No,No
FDB80209,CUST99217,20/05/2026,Had to wait too long for claim approval.,1,Yes,No
FDB80210,CUST10549,29/03/2025,Had to wait too long for claim approval.,1,No,No
FDB80211,CUST11192,09/11/2023,I'm not happy with the premium charged.,2,No,Yes
FDB80212,CUST10413,10/05/2024,The mobile app experience was intuitive.,4,No,No
FDB80213,CUST11462,06/06/2025,Claim process could be faster.,3,No,No
FDB80214,CUST99181,02/06/2025,I'm not happy with the premium charged.,2,Yes,No
FDB80215,CUST10802,24/01/2025,Smooth experience with no issues.,5,Yes,Yes
FDB80216,CUST10298,14/04/2025,Had to wait too long for claim approval.,1,Yes,No
FDB80217,CUST10149,07/01/2026,Smooth experience with no issues.,4,No,Yes
FDB80218,CUST10448,18/08/2024,Frustrated with repeated documentation requests.,2,No,Yes
FDB80219,CUST99280,29/07/2025,Had to wait too long for claim approval.,2,No,No
FDB80220,CUST11288,06/04/2024,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80221,CUST11084,09/01/2024,Frustrated with repeated documentation requests.,2,Yes,No
FDB80222,CUST99050,04/12/2023,Excellent customer service support.,5,Yes,No
FDB80223,CUST99186,07/04/2024,The mobile app experience was intuitive.,4,No,No
FDB80224,CUST10110,20/04/2025,Had to wait too long for claim approval.,2,Yes,No
FDB80225,CUST11468,26/04/2024,The mobile app experience was intuitive.,4,Yes,No
FDB80226,CUST99208,19/02/2025,Very satisfied with the claim process.,5,Yes,No
FDB80227,CUST10126,19/05/2025,I'm not happy with the premium charged.,2,No,Yes
FDB80228,CUST99001,02/06/2025,Need more clarity on policy coverage.,2,Yes,No
FDB80229,CUST99219,04/04/2026,Claim process could be faster.,2,Yes,No
FDB80230,CUST99163,04/01/2024,Claim process could be faster.,2,Yes,Yes
FDB80231,CUST99266,02/05/2026,The mobile app experience was intuitive.,4,Yes,Yes
FDB80232,CUST99183,03/01/2026,Excellent customer service support.,4,Yes,Yes
FDB80233,CUST10930,04/04/2024,Need more clarity on policy coverage.,2,No,Yes
FDB80234,CUST10071,03/02/2026,I'm not happy with the premium charged.,2,No,No
FDB80235,CUST99157,08/07/2025,Claim process could be faster.,2,Yes,No
FDB80236,CUST99268,16/01/2025,The agent was helpful and explained everything.,4,Yes,No
FDB80237,CUST99105,04/09/2023,Excellent customer service support.,4,Yes,No
FDB80238,CUST11448,08/12/2025,Smooth experience with no issues.,4,Yes,Yes
FDB80239,CUST99075,24/06/2025,The agent was helpful and explained everything.,4,No,No
FDB80240,CUST11137,24/02/2025,The agent was helpful and explained everything.,4,Yes,No
FDB80241,CUST99004,15/03/2024,Very satisfied with the claim process.,5,No,No
FDB80242,CUST99245,12/03/2025,I'm not happy with the premium charged.,2,No,Yes
FDB80243,CUST10500,20/03/2025,Excellent customer service support.,5,No,No
FDB80244,CUST10335,12/07/2026,The mobile app experience was intuitive.,4,No,No
FDB80245,CUST11346,28/07/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80246,CUST10117,11/04/2026,The agent was helpful and explained everything.,4,Yes,Yes
FDB80247,CUST10076,02/06/2024,I'm not happy with the premium charged.,2,Yes,No
FDB80248,CUST10911,01/07/2024,Very satisfied with the claim process.,5,No,No
FDB80249,CUST99327,11/05/2025,I'm not happy with the premium charged.,2,No,Yes
FDB80250,CUST10675,07/08/2024,Had to wait too long for claim approval.,2,No,Yes
FDB80251,CUST10424,29/12/2024,Need more clarity on policy coverage.,2,No,No
FDB80252,CUST99046,10/08/2026,Had to wait too long for claim approval.,2,Yes,No
FDB80253,CUST10188,06/07/2026,Claim process could be faster.,2,Yes,No
FDB80254,CUST11027,19/02/2025,Very satisfied with the claim process.,5,Yes,No
FDB80255,CUST99173,18/08/2024,Very satisfied with the claim process.,5,Yes,No
FDB80256,CUST10735,06/08/2026,Need more clarity on policy coverage.,2,Yes,No
FDB80257,CUST11499,31/01/2025,The mobile app experience was intuitive.,4,Yes,No
FDB80258,CUST99104,29/02/2024,Very satisfied with the claim process.,5,No,No
FDB80259,CUST10360,14/11/2023,The agent was helpful and explained everything.,4,No,No
FDB80260,CUST11471,20/12/2024,The mobile app experience was intuitive.,4,No,No
FDB80261,CUST11146,02/08/2024,Had to wait too long for claim approval.,1,No,No
FDB80262,CUST99333,14/06/2026,Need more clarity on policy coverage.,2,No,No
FDB80263,CUST10891,01/01/2025,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80264,CUST10821,03/08/2025,Need more clarity on policy coverage.,2,No,No
FDB80265,CUST99128,16/04/2025,Smooth experience with no issues.,5,Yes,Yes
FDB80266,CUST10558,22/03/2024,Had to wait too long for claim approval.,1,No,No
FDB80267,CUST11213,04/01/2026,Excellent customer service support.,4,Yes,No
FDB80268,CUST99047,18/12/2025,Smooth experience with no issues.,4,Yes,Yes
FDB80269,CUST10306,24/04/2024,Need more clarity on policy coverage.,2,No,No
FDB80270,CUST11053,06/03/2025,Frustrated with repeated documentation requests.,2,Yes,Yes
FDB80271,CUST10406,19/08/2024,Claim process could be faster.,3,Yes,No
FDB80272,CUST99368,07/04/2025,Need more clarity on policy coverage.,2,Yes,Yes
FDB80273,CUST10591,25/12/2023,Excellent customer service support.,5,No,No
FDB80274,CUST11613,28/07/2024,Had to wait too long for claim approval.,1,No,No
FDB80275,CUST11639,03/07/2025,Need more clarity on policy coverage.,2,Yes,Yes
FDB80276,CUST99139,21/05/2025,Smooth experience with no issues.,4,No,Yes
FDB80277,CUST11191,20/02/2024,Smooth experience with no issues.,5,No,Yes
FDB80278,CUST10431,22/02/2024,Need more clarity on policy coverage.,2,No,No
FDB80279,CUST10683,21/12/2025,Need more clarity on policy coverage.,2,No,No
FDB80280,CUST10957,12/01/2026,Smooth experience with no issues.,5,No,No
FDB80281,CUST10541,26/03/2026,I'm not happy with the premium charged.,2,Yes,Yes
FDB80282,CUST99127,03/07/2025,Need more clarity on policy coverage.,2,Yes,Yes
FDB80283,CUST11540,23/02/2024,Smooth experience with no issues.,4,No,No
FDB80284,CUST11425,18/07/2026,The mobile app experience was intuitive.,4,Yes,No
FDB80285,CUST10521,14/08/2026,The mobile app experience was intuitive.,4,No,Yes
FDB80286,CUST99012,20/08/2025,The mobile app experience was intuitive.,4,Yes,No
FDB80287,CUST10119,15/01/2026,Very satisfied with the claim process.,4,Yes,Yes
FDB80288,CUST11493,05/01/2026,Very satisfied with the claim process.,5,Yes,No
FDB80289,CUST99147,25/06/2024,Smooth experience with no issues.,4,Yes,No
FDB80290,CUST10401,22/06/2026,Frustrated with repeated documentation requests.,2,Yes,No
FDB80291,CUST11180,02/02/2025,I'm not happy with the premium charged.,2,Yes,Yes
FDB80292,CUST10149,30/03/2026,Had to wait too long for claim approval.,2,No,No
FDB80293,CUST99144,01/08/2024,The agent was helpful and explained everything.,4,No,No
FDB80294,CUST10160,09/02/2024,Claim process could be faster.,2,No,Yes
FDB80295,CUST10434,03/09/2024,Need more clarity on policy coverage.,2,Yes,Yes
FDB80296,CUST99330,25/09/2024,Need more clarity on policy coverage.,2,Yes,No
FDB80297,CUST10876,28/11/2025,Frustrated with repeated documentation requests.,2,No,Yes
FDB80298,CUST10493,08/01/2025,Frustrated with repeated documentation requests.,2,No,No
FDB80299,CUST10653,13/12/2024,Excellent customer service support.,4,No,Yes
FDB80300,CUST10726,08/11/2024,Excellent customer service support.,5,Yes,No
FDB80301,CUST99316,04/12/2024,The mobile app experience was intuitive.,4,No,No
FDB80302,CUST10057,17/12/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80303,CUST10678,19/11/2024,Need more clarity on policy coverage.,2,No,No
FDB80304,CUST11620,31/07/2026,Claim process could be faster.,2,Yes,No
FDB80305,CUST99224,25/09/2024,Very satisfied with the claim process.,5,No,Yes
FDB80306,CUST10309,02/02/2026,Had to wait too long for claim approval.,1,Yes,No
FDB80307,CUST11090,07/08/2026,Need more clarity on policy coverage.,2,No,No
FDB80308,CUST10457,22/12/2025,I'm not happy with the premium charged.,2,Yes,No
FDB80309,CUST10291,25/09/2023,Claim process could be faster.,2,Yes,No
FDB80310,CUST10324,14/10/2025,The agent was helpful and explained everything.,5,No,No
FDB80311,CUST99193,19/04/2024,I'm not happy with the premium charged.,2,Yes,Yes
FDB80312,CUST99289,28/10/2025,Excellent customer service support.,4,Yes,No
FDB80313,CUST11280,23/07/2024,The agent was helpful and explained everything.,5,Yes,No
FDB80314,CUST10826,17/10/2024,Excellent customer service support.,5,No,No
FDB80315,CUST99332,21/08/2024,The mobile app experience was intuitive.,4,Yes,No
FDB80316,CUST10406,17/01/2026,Had to wait too long for claim approval.,1,Yes,No
FDB80317,CUST11541,25/08/2024,Had to wait too long for claim approval.,1,No,Yes
FDB80318,CUST99199,09/05/2025,Had to wait too long for claim approval.,1,Yes,No
FDB80319,CUST10879,09/04/2024,Claim process could be faster.,3,Yes,Yes
FDB80320,CUST11293,26/04/2024,Smooth experience with no issues.,5,Yes,No
FDB80321,CUST10538,08/03/2025,Frustrated with repeated documentation requests.,2,Yes,No
FDB80322,CUST10477,30/03/2026,Frustrated with repeated documentation requests.,2,Yes,No
FDB80323,CUST10839,30/12/2023,Had to wait too long for claim approval.,2,Yes,No
FDB80324,CUST11427,27/05/2024,Frustrated with repeated documentation requests.,2,Yes,No
FDB80325,CUST99169,25/08/2024,The agent was helpful and explained everything.,4,Yes,Yes
FDB80326,CUST99205,10/02/2025,Claim process could be faster.,3,No,Yes
FDB80327,CUST11152,02/11/2025,The mobile app experience was intuitive.,4,Yes,No
FDB80328,CUST11021,30/01/2025,Frustrated with repeated documentation requests.,2,No,No
FDB80329,CUST10165,03/08/2026,The mobile app experience was intuitive.,4,Yes,No
FDB80330,CUST11330,24/10/2023,Excellent customer service support.,5,No,No
FDB80331,CUST10916,26/08/2025,Had to wait too long for claim approval.,2,Yes,Yes
FDB80332,CUST99232,26/09/2025,Smooth experience with no issues.,5,Yes,No
FDB80333,CUST10319,27/05/2026,The agent was helpful and explained everything.,5,Yes,No
FDB80334,CUST11254,18/02/2025,Excellent customer service support.,4,No,No
FDB80335,CUST11370,07/07/2024,Had to wait too long for claim approval.,2,Yes,No
FDB80336,CUST11088,29/06/2025,Had to wait too long for claim approval.,1,No,Yes
FDB80337,CUST99339,19/10/2024,Need more clarity on policy coverage.,2,Yes,Yes
FDB80338,CUST99024,24/12/2023,The mobile app experience was intuitive.,4,Yes,No
FDB80339,CUST11280,05/08/2025,Excellent customer service support.,5,Yes,No
FDB80340,CUST99060,02/07/2024,Smooth experience with no issues.,4,Yes,Yes
FDB80341,CUST99079,12/10/2024,Had to wait too long for claim approval.,1,No,Yes
FDB80342,CUST10214,12/06/2026,The mobile app experience was intuitive.,4,Yes,No
FDB80343,CUST99132,03/01/2024,Excellent customer service support.,5,No,Yes
FDB80344,CUST10532,29/01/2024,Claim process could be faster.,3,Yes,No
FDB80345,CUST99148,03/12/2025,Frustrated with repeated documentation requests.,2,No,No
FDB80346,CUST10276,24/08/2024,Had to wait too long for claim approval.,1,Yes,No
FDB80347,CUST11230,31/12/2025,Claim process could be faster.,2,No,No
